"NAME","FULLNAME","POPULATION2010","NRLANGUAGES2010","COLOR","tooltip","POPULATION2011"
"MNE","Montenegro",5e+08,,"#FFFFFF","Montenegro
Exports: 5e+08",307088400.050998
"SRB","Serbia",928550368.9,0.039152404,"#ff5000","Serbia
Exports: 928550368.9",570294094.304529
"GRC","Greece",234567960,0.009890578,"#3a5000","Greece
Exports: 234567960",144066199.079253
"ITA","Italy",191429370,0.008071635,"#2d5000","Italy
Exports: 191429370",117571477.912141
"BIH","Bosnia",166515277.1,0,"#0050ff","Bosnia
Exports: 166515277.1",102269820.057375
"HRV","Croatia",155779800,0.006568468,"#235000","Croatia
Exports: 155779800",95676339.0845288
"SVN","Slovenia",147091670,0.006202133,"#215000","Slovenia
Exports: 147091670",90340291.2022587
"DEU","Germany",110175230,0.004645548,"#165000","Germany
Exports: 110175230",67667070.2119014
"CHN","China",95107211.1,0.004010204,"#125000","China
Exports: 95107211.1",58412642.580023
"HUN","Hungary",77537570,0.003269378,"#0d5000","Hungary
Exports: 77537570",47621776.6302845
"AUT","Austria",65074240,0.002743861,"#095000","Austria
Exports: 65074240",39967088.4922693
"NLD","Netherlands",61029320,0.002573306,"#085000","Netherlands
Exports: 61029320",37482792.4700007
"SVK","Slovak Republic",49359640,0.002081253,"#055000","Slovak Republic
Exports: 49359640",30315545.7493865
"MKD","Macedonia",37176693.28,0.001567558,"#015000","Macedonia
Exports: 37176693.28",22833062.5170838
"TUR","Turkey",32054501.6,0.001351581,"#005000","Turkey
Exports: 32054501.6",19687131.2215523
"IND","India",31289034.08,0.001223129,"#005018","India
Exports: 31289034.08",19216998.8295367
"BRA","Brazil",29398204,0.001239578,"#005015","Brazil
Exports: 29398204",18055694.8614657
"FRA","France",28732990,0.001211529,"#00501a","France
Exports: 28732990",17647135.8555626
"ROU","Romania",27537070,0.001161103,"#005024","Romania
Exports: 27537070",16912629.5367847
"ESP","Spain",26338620,0.00111057,"#00502d","Spain
Exports: 26338620",16176569.3507024
